Date,Open,High,Low,Close,Volume,Change
24-Nov-23,"59,059.56","59,502.28","58,990.21","59,086.35","289,169,682",186.51
23-Nov-23,"58,246.21","58,920.41","58,246.20","58,899.84","306,739,122",701.08
22-Nov-23,"57,418.50","58,405.92","57,418.50","58,198.76","256,574,048",827.18
21-Nov-23,"57,176.46","57,691.22","57,176.45","57,371.58","355,672,819",293.62
20-Nov-23,"57,099.82","57,309.26","56,738.39","57,077.96","314,736,021",14.81
17-Nov-23,"57,503.68","57,750.92","56,977.02","57,063.15","363,423,269",-333.87
16-Nov-23,"56,838.66","57,549.26","56,531.53","57,397.02","359,819,193",716.96
15-Nov-23,"56,793.35","56,846.67","56,433.04","56,680.06","306,609,297",14.13
14-Nov-23,"56,732.99","56,873.98","56,118.17","56,665.93","254,947,086",142.35
13-Nov-23,"55,644.68","56,583.59","55,644.67","56,523.58","300,340,813","1,132.22"
10-Nov-23,"54,371.75","55,506.32","54,371.74","55,391.36","372,159,237","1,129.94"
08-Nov-23,"53,720.46","54,419.65","53,720.45","54,261.42","259,130,534",525.69
07-Nov-23,"53,977.16","54,312.89","53,711.46","53,735.73","245,992,417",-124.63
06-Nov-23,"53,286.64","53,944.89","53,166.85","53,860.36","269,425,259",737.33
03-Nov-23,"52,916.99","53,263.07","52,782.21","53,123.03","215,903,590",466.27
02-Nov-23,"52,421.09","52,706.00","52,239.58","52,656.76","182,955,195",314.13
01-Nov-23,"52,075.16","52,451.20","52,075.16","52,342.63","258,168,972",422.36
31-Oct-23,"51,633.00","52,088.70","51,508.57","51,920.27","252,190,357",437.35
30-Oct-23,"50,971.84","51,501.82","50,971.84","51,482.92","137,421,764",539.09
27-Oct-23,"51,219.11","51,269.73","50,834.72","50,943.83","178,178,531",-241.45
26-Oct-23,"51,341.92","51,520.68","51,140.64","51,185.28","175,300,260",8.15
25-Oct-23,"51,023.31","51,483.84","51,023.31","51,177.13","215,696,389",149.19
24-Oct-23,"51,121.92","51,121.92","50,624.38","51,027.94","145,554,910",-42.88
23-Oct-23,"50,924.38","51,419.86","50,924.37","51,070.82","188,079,460",338.96
20-Oct-23,"50,417.99","50,952.67","50,332.75","50,731.86","210,055,910",366.71
19-Oct-23,"49,487.16","50,399.92","49,436.92","50,365.15","249,126,199",933.68
18-Oct-23,"49,496.19","49,740.97","49,383.71","49,431.47","157,191,807",-99.54
17-Oct-23,"49,792.49","50,017.45","49,508.41","49,531.01","221,287,157",-200.34
16-Oct-23,"49,705.41","49,919.03","49,317.59","49,731.35","296,340,716",237.88
13-Oct-23,"48,821.58","49,520.37","48,767.59","49,493.47","369,813,447",721.76
12-Oct-23,"48,520.71","48,830.26","48,359.37","48,771.71","223,229,778",297.17
11-Oct-23,"48,210.60","48,516.64","48,208.30","48,474.54","275,943,536",334.27
10-Oct-23,"47,752.69","48,166.36","47,708.11","48,140.27","169,366,744",418.48
09-Oct-23,"47,376.59","47,775.72","47,217.74","47,721.79","116,346,026",228.22
06-Oct-23,"47,545.30","47,619.25","47,402.57","47,493.57","116,567,496",41.19
05-Oct-23,"47,152.98","47,484.56","47,152.98","47,452.38","182,435,686",372.55
04-Oct-23,"46,760.83","47,199.50","46,748.79","47,079.83","100,274,648",323.03
03-Oct-23,"46,685.93","46,820.71","46,670.78","46,756.80","95,173,296",129.72
02-Oct-23,"46,294.62","46,704.63","46,294.62","46,627.08","100,351,138",394.49
28-Sep-23,"46,464.29","46,469.59","46,177.49","46,232.59","80,528,410",-132.45
27-Sep-23,"46,291.28","46,448.33","46,238.12","46,365.04","91,939,003",87.39
26-Sep-23,"46,399.88","46,503.82","46,258.96","46,277.65","95,627,367",-116.02
25-Sep-23,"46,483.10","46,590.26","46,305.88","46,393.67","89,591,756",-27.48
22-Sep-23,"46,322.34","46,500.45","46,181.99","46,421.15","94,480,015",219.03
21-Sep-23,"45,917.50","46,309.80","45,733.44","46,202.12","74,186,692",312.55
